Time,Position,Data 2,Time,Position,Data 3,Time,Position,Data 4,Time,Position
0,-1,,0,-1,,0,-1,,0.000714526,-0.998074278
0.001,-0.999950017,,0.001,-0.999987531,,0.002,-0.999801993,,0.001104202,-1.013938973
0.002,-0.99980014,,0.002,-0.999950188,,0.004,-0.999215869,,0.002697853,-1.015455805
0.003,-0.999550484,,0.003,-0.999888094,,0.006,-0.998253329,,0.003427656,-1.002209173
0.004,-0.999201173,,0.004,-0.999801354,,0.008,-0.996925879,,0.00537762,-0.995553755
0.005,-0.998752342,,0.005,-0.999690108,,0.01,-0.995244825,,0.002805977,-0.998000213
0.006,-0.998204134,,0.006,-0.999554502,,0.012,-0.993221282,,0.005454252,-0.991488089
0.007,-0.997556704,,0.007,-0.999394648,,0.014,-0.990866168,,0.006623888,-0.978367462
0.008,-0.996810217,,0.008,-0.999210668,,0.016,-0.988190211,,0.009107537,-1.000101062
0.009,-0.995964846,,0.009,-0.999002688,,0.018,-0.985203948,,0.007848962,-0.988192637
0.01,-0.995020774,,0.01,-0.998770833,,0.02,-0.981917726,,0.008809434,-0.992229169
0.011,-0.993978194,,0.011,-0.998515227,,0.022,-0.978341705,,0.012211656,-1.000853275
0.012,-0.992837308,,0.012,-0.998235996,,0.024,-0.97448586,,0.011228869,-0.980221806
0.013,-0.99159833,,0.013,-0.997933263,,0.026,-0.97035998,,0.014014172,-0.993778682
0.014,-0.99026148,,0.014,-0.997607155,,0.028,-0.965973671,,0.013512232,-1.001656436
0.015,-0.988826991,,0.015,-0.997257795,,0.03,-0.961336358,,0.01408411,-0.971292724
0.016,-0.987295104,,0.016,-0.996885308,,0.032,-0.956457287,,0.015203438,-1.004193543
0.017,-0.985666068,,0.017,-0.99648982,,0.034,-0.951345526,,0.015727044,-0.976841215
0.018,-0.983940143,,0.018,-0.996071453,,0.036,-0.946009966,,0.017812876,-0.988768378
0.019,-0.982117599,,0.019,-0.995630334,,0.038,-0.940459324,,0.019617055,-0.990462431
0.02,-0.980198715,,0.02,-0.995166587,,0.04,-0.934702144,,0.020844257,-0.988218583
0.021,-0.978183779,,0.021,-0.994680335,,0.042,-0.928746798,,0.021005504,-0.983911276
0.022,-0.976073089,,0.022,-0.994171703,,0.044,-0.922601489,,0.023690971,-0.971643585
0.023,-0.973866951,,0.023,-0.993640817,,0.046,-0.916274255,,0.024221561,-0.984124291
0.024,-0.97156568,,0.024,-0.993087799,,0.048,-0.909772964,,0.023578258,-0.992665376
0.025,-0.969169603,,0.025,-0.992512774,,0.05,-0.903105322,,0.023870378,-0.974522206
0.026,-0.966679053,,0.026,-0.991915866,,0.052,-0.896278873,,0.026849763,-0.980534013
0.027,-0.964094373,,0.027,-0.991297199,,0.054,-0.889301001,,0.026659651,-0.947647735
0.028,-0.961415916,,0.028,-0.990656897,,0.056,-0.88217893,,0.028294805,-0.972322096
0.029,-0.958644043,,0.029,-0.989995085,,0.058,-0.874919729,,0.027780564,-0.95085382
0.03,-0.955779126,,0.03,-0.989311885,,0.06,-0.867530311,,0.030500128,-0.96036136
0.031,-0.952821542,,0.031,-0.988607421,,0.062,-0.860017436,,0.031705808,-0.956645767
0.032,-0.949771681,,0.032,-0.987881817,,0.064,-0.852387713,,0.032342646,-0.972040499
0.033,-0.946629939,,0.033,-0.987135197,,0.066,-0.844647602,,0.033120849,-0.938826039
0.034,-0.943396722,,0.034,-0.986367684,,0.068,-0.836803415,,0.034545861,-0.95905777
0.035,-0.940072445,,0.035,-0.985579401,,0.07,-0.82886132,,0.034799105,-0.947774441
0.036,-0.936657532,,0.036,-0.984770472,,0.072,-0.82082734,,0.034251635,-0.939541892
0.037,-0.933152413,,0.037,-0.983941019,,0.074,-0.812707355,,0.037382864,-0.924784299
0.038,-0.92955753,,0.038,-0.983091166,,0.076,-0.804507108,,0.036376578,-0.923328791
0.039,-0.925873332,,0.039,-0.982221036,,0.078,-0.796232202,,0.040016484,-0.932519874
0.04,-0.922100275,,0.04,-0.981330751,,0.08,-0.787888103,,0.040025349,-0.915322839
0.041,-0.918238827,,0.041,-0.980420435,,0.082,-0.779480145,,0.040416433,-0.935577835
0.042,-0.914289461,,0.042,-0.97949021,,0.084,-0.771013529,,0.042857492,-0.893451005
0.043,-0.91025266,,0.043,-0.978540199,,0.086,-0.762493324,,0.042716804,-0.900773461
0.044,-0.906128914,,0.044,-0.977570523,,0.088,-0.753924471,,0.044583447,-0.912472631
0.045,-0.901918724,,0.045,-0.976581306,,0.09,-0.745311785,,0.0442263,-0.913442699
